Paper_ID,Title,Year,Document_Type,Doc_Type_Confidence,Manual_Review_Reason,Source,Evidence_Type,PDF_Filename,Date_Added
ALP-2026-0243,Effectiveness of High-Intensity Interval Training (HIT) and Continuous Endurance Training for VO2max Improvements - A Systematic Review and Meta-Analysis of Controlled Trials,,other,low,llm_only,Unknown,journal_article,Journals\General\Effectiveness of High-Intensity Interval Training (HIT) and Continuous Endurance Training for VO2max Improvements - A Systematic Review and Meta-Analysis of Controlled Trials.pdf,2026-08-06
ALP-2026-0247,Evaluation of endurance physiological characteristics in road cyclists,,other,low,llm_only,Unknown,journal_article,Journals\General\Evaluation of endurance physiological characteristics in road cyclists.pdf,2026-08-06
ALP-2026-0018,Non-invasive lactate threshold estimation using deep learning - practical applications across endurance sports,,journal_article,medium,automatic_extraction_failed_twice_llm_400,Unknown,journal_article,Journals\General\Non-invasive lactate threshold estimation using deep learning - practical applications across endurance sports.pdf,2026-09-14
ALP-2026-0228,"Training Periodization, Methods, Intensity Distribution, and Volume in Highly Trained and Elite Distance Runners - A Systematic Review",,journal_article,medium,title_year_source_were_literal_placeholder_string_and_content_population_mentions_cyclists_while_title_says_distance_runners_possible_topic_mismatch,Unknown,systematic_review,"Journals\Training_Prescription\Training Periodization, Methods, Intensity Distribution, and Volume in Highly Trained and Elite Distance Runners - A Systematic Review.pdf",2026-09-14
ALP-2026-0313,Neuromuscular Cycling Training,,journal_article,high,automatic_extraction_failed_twice_empty_main_finding,Unknown,journal_article,Journals\General\Neuromuscular Cycling Training.pdf,2026-09-14
ALP-2026-0317,Effect of Heat on Psycho-Physiological Responses During a Self-Paced Cycling Time Trial,,journal_article,high,automatic_extraction_failed_twice_llm_400,Unknown,journal_article,Journals\General\Effect of Heat on Psycho-Physiological Responses During a Self-Paced Cycling Time Trial.pdf,2026-09-14
ALP-2026-0289,Training Load Management in Elite Cyclists,2023,journal_article,medium,two_independent_extractions_produced_fabricated_authors_and_placeholder_tokens_content_unverified_against_actual_pdf,Unknown,journal_article,Journals\Load_Monitoring\Maximal strength training improves aerobic endurance performance.pdf,2026-09-14
